,cat_id,cat_name,cat_title,cat_description,cat_num_tokens,cat_market_cap,coin_id,coin_name,coin_sym,date_added,platform_name,token_address,is_active
0,60521ff1df5d3f36b84fbb61,Solana Ecosystem,Solana Ecosystem,Solana Ecosystem,176,162772019294.9599,825,Tether,USDT,2015-02-25T00:00:00.000Z,Ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,1
1,60521ff1df5d3f36b84fbb61,Solana Ecosystem,Solana Ecosystem,Solana Ecosystem,176,162772019294.9599,5426,Solana,SOL,2020-04-10T00:00:00.000Z,None,None,1
2,60521ff1df5d3f36b84fbb61,Solana Ecosystem,Solana Ecosystem,Solana Ecosystem,176,162772019294.9599,4172,Terra,LUNA,2019-07-26T00:00:00.000Z,None,None,1
3,60521ff1df5d3f36b84fbb61,Solana Ecosystem,Solana Ecosystem,Solana Ecosystem,176,162772019294.9599,1975,Chainlink,LINK,2017-09-20T00:00:00.000Z,Ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,1
4,60521ff1df5d3f36b84fbb61,Solana Ecosystem,Solana Ecosystem,Solana Ecosystem,176,162772019294.9599,6719,The Graph,GRT,2020-12-17T00:00:00.000Z,Ethereum,0xc944e90c64b2c07662a292be6244bdf05cda44a7,1
5,60521ff1df5d3f36b84fbb61,Solana Ecosystem,Solana Ecosystem,Solana Ecosystem,176,162772019294.9599,18069,STEPN,GMT,2022-03-09T12:47:15.000Z,BNB Smart Chain (BEP20),0x3019BF2a2eF8040C242C9a4c5c4BD4C81678b2A1,1
6,60521ff1df5d3f36b84fbb61,Solana Ecosystem,Solana Ecosystem,Solana Ecosystem,176,162772019294.9599,5632,Arweave,AR,2020-05-27T00:00:00.000Z,None,None,1
7,60521ff1df5d3f36b84fbb61,Solana Ecosystem,Solana Ecosystem,Solana Ecosystem,176,162772019294.9599,7455,Audius,AUDIO,2020-10-20T00:00:00.000Z,Ethereum,0x18aaa7115705e8be94bffebde57af9bfc265b998,1
8,60521ff1df5d3f36b84fbb61,Solana Ecosystem,Solana Ecosystem,Solana Ecosystem,176,162772019294.9599,5690,Render Token,RNDR,2020-06-11T00:00:00.000Z,Ethereum,0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,1
9,60521ff1df5d3f36b84fbb61,Solana Ecosystem,Solana Ecosystem,Solana Ecosystem,176,162772019294.9599,2539,Ren,REN,2018-02-21T00:00:00.000Z,Ethereum,0x408e41876cccdc0f92210600ef50372656052a38,1
10,60521ff1df5d3f36b84fbb61,Solana Ecosystem,Solana Ecosystem,Solana Ecosystem,176,162772019294.9599,6187,Serum,SRM,2020-08-04T00:00:00.000Z,None,None,1
11,60521ff1df5d3f36b84fbb61,Solana Ecosystem,Solana Ecosystem,Solana Ecosystem,176,162772019294.9599,10903,Coin98,C98,2021-07-15T00:00:00.000Z,Ethereum,0xae12c5930881c53715b369cec7606b70d8eb229f,1
12,60521ff1df5d3f36b84fbb61,Solana Ecosystem,Solana Ecosystem,Solana Ecosystem,176,162772019294.9599,8526,Raydium,RAY,2021-02-19T00:00:00.000Z,Ethereum,0x5245c0249e5eeb2a0838266800471fd32adb1089,1
13,60521ff1df5d3f36b84fbb61,Solana Ecosystem,Solana Ecosystem,Solana Ecosystem,176,162772019294.9599,7226,Injective,INJ,2020-09-29T00:00:00.000Z,Ethereum,0xe28b3b32b6c345a34ff64674606124dd5aceca30,1
14,60521ff1df5d3f36b84fbb61,Solana Ecosystem,Solana Ecosystem,Solana Ecosystem,176,162772019294.9599,1816,Civic,CVC,2017-07-17T00:00:00.000Z,Ethereum,0x41e5560054824ea6b0732e656e3ad64e20e94e45,1
15,60521ff1df5d3f36b84fbb61,Solana Ecosystem,Solana Ecosystem,Solana Ecosystem,176,162772019294.9599,3748,Hxro,HXRO,2019-02-15T00:00:00.000Z,Ethereum,0x4bd70556ae3f8a6ec6c4080a0c327b24325438f3,1
16,60521ff1df5d3f36b84fbb61,Solana Ecosystem,Solana Ecosystem,Solana Ecosystem,176,162772019294.9599,4679,Band Protocol,BAND,2019-09-18T00:00:00.000Z,Ethereum,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,1
17,60521ff1df5d3f36b84fbb61,Solana Ecosystem,Solana Ecosystem,Solana Ecosystem,176,162772019294.9599,7431,Akash Network,AKT,2020-10-16T00:00:00.000Z,None,None,1
18,60521ff1df5d3f36b84fbb61,Solana Ecosystem,Solana Ecosystem,Solana Ecosystem,176,162772019294.9599,11367,Aurory,AURY,2021-10-24T16:58:08.000Z,Solana,AURYydfxJib1ZkTir1Jn1J9ECYUtjb6rKQVmtYaixWPP,1
19,60521ff1df5d3f36b84fbb61,Solana Ecosystem,Solana Ecosystem,Solana Ecosystem,176,162772019294.9599,5338,Somnium Space Cubes,CUBE,2020-03-18T00:00:00.000Z,Ethereum,0xdf801468a808a32656d2ed2d2d80b72a129739f4,1
