,cat_id,cat_name,cat_title,cat_description,cat_num_tokens,cat_market_cap,coin_id,coin_name,coin_sym,date_added,platform_name,token_address,is_active
15,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,8829,Pig Finance,PIG,2021-03-16T00:00:00.000Z,BNB Smart Chain (BEP20),0x8850d2c68c632e3b258e612abaa8fada7e6958e5,1
16,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,16533,Crypto Bike Riders,RIDERS,2021-12-28T03:40:35.000Z,BNB Smart Chain (BEP20),0x20762445e5d3c25831ec1ccd55d807bafbda2e55,0
17,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,9862,Sishi Finance,SISHI,2021-05-17T00:00:00.000Z,BNB Smart Chain (BEP20),0x8e8538c75f273ab2df6adeecd3622a9c314fccf3,1
18,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,16534,iDeFiYieldProtocol,IDYP,2021-12-28T03:55:11.000Z,BNB Smart Chain (BEP20),0xBD100d061E120b2c67A24453CF6368E63f1Be056,1
19,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,10540,GEM PROTOCOL,GEM,2021-06-21T00:00:00.000Z,BNB Smart Chain (BEP20),0xe3D478FE8E8f55F7e9b2b55cF25868EDc9F924d8,0
20,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,8830,Neoteric,NTRC,2021-03-16T00:00:00.000Z,BNB Smart Chain (BEP20),0xbeBb576f877F93958B0646C12714d5D02B1195B0,0
21,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,16594,Fisher Vs Pirate,FVP,2021-12-29T06:13:44.000Z,BNB Smart Chain (BEP20),0x8d972727b2c0f053a2ef88a0690cdbddbae8a06a,1
22,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,10542,BakerDAO,BKR,2021-06-21T00:00:00.000Z,BNB Smart Chain (BEP20),0x6636F7B89f64202208f608DEFFa71293EEF7b466,0
23,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,8835,xMARK,XMARK,2021-03-16T00:00:00.000Z,Ethereum,0x36b679bd64ed73dbfd88909cdcb892cb66bd4cbb,1
24,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,16597,MoonsDust,MOOND,2021-12-29T06:53:35.000Z,BNB Smart Chain (BEP20),0x6ca5fac496bf94345958635e6e6171dfe78f36bb,1
25,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,8839,Eternal Cash,EC,2021-03-16T00:00:00.000Z,BNB Smart Chain (BEP20),0x400df62c3052fdbaad8c74c0226147f9bfaaf7ec,1
26,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,10544,Bitcrush,CRUSH,2021-06-21T00:00:00.000Z,BNB Smart Chain (BEP20),0x0Ef0626736c2d484A792508e99949736D0AF807e,1
27,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,16598,Age Of Knights,GEM,2021-12-29T07:08:06.000Z,BNB Smart Chain (BEP20),0xc526399973608e6080aff02062a3840da6148738,1
28,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,16599,Singularity,SGLY,2021-12-29T07:13:51.000Z,BNB Smart Chain (BEP20),0x5f50411cde3eec27b0eac21691b4e500c69a5a2e,1
29,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,10545,H2Finance,YFIH2,2021-06-21T00:00:00.000Z,BNB Smart Chain (BEP20),0xdcb624c870d73cdd0b3345762977cb14de598cd0,1
30,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,9871,Kesef Finance,KSF,2021-05-17T00:00:00.000Z,Ethereum,0x049e119413ab1f1b0fd836e657e3e4ba3ad9cab8,0
31,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,8840,DailySwap Token,DAILYS,2021-03-16T00:00:00.000Z,BNB Smart Chain (BEP20),0xe0d6ad5a77fd1ed1a22f89657e4248a8ac6a8cbf,1
32,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,16601,XenophonDAO,XPH,2021-12-29T07:30:28.000Z,BNB Smart Chain (BEP20),0x3e29633846e8b857b7f6d7f293f895186804264b,0
